,hash,message,time,buggy
118,76eae43,Avoid dynamic memory allocation for fixed length array.,2016-10-26T16:01:12,1
119,ba0f057,Bugfixes for non --enable-everything,2013-11-13T14:53:35,1
120,958c4db,fixed exodusII_io.C to include boundary_info.h,2005-06-11 15:02:11,1
121,fe62ed2,Unit test fixes for --enable-complex,2016-10-21 08:47:20,1
122,8d0b57f,fixed StatisticsVector::variance to return the same value as the GSL and MATLAB,2003-06-05T19:33:51,1
123,1c2f7f2,Fixes for BoundaryInfo::sync() to refined boundary,2011-10-09T03:20:53,1
124,8fb2a3e,Fixes for external-to-libMesh getpot usage,2013-03-29T12:08:08,1
125,3555c51,Patch from Dmitry Karpeev:,2012-04-09T22:39:41,1
126,9d444f7,fixed a no-return statement condition,2003-12-18T03:07:07,1
127,abc091f,Fixes for --disable-legacy-using-namespace,2012-11-05T20:51:58,1
128,87f203d,Large set of dof_id_type  -Wconversion fixes,2013-01-31T15:01:56,1
129,77dfa64,the patch recovery error estimator is now multithreaded,2008-02-08 21:50:46,1
130,6ee2c9e,More non-default-type-size correctness fixes,2013-01-26T00:35:26,1
131,49da91f,Major refactoring  fixes for ParallelMesh synchronization code.,2008-05-01 06:38:11,1
132,12dc3e0,Fixed missing STOP_LOGs in some of the RB classes.,2011-03-23T21:34:34,1
133,6c83aec,Fixed name demangling issue for Mac GCC users,2011-01-11T19:10:39,1
134,5881eed,fixes for PETSc nonlinear systems with matrix-free solvers,2005-01-19 21:59:54,1
135,60252a3,Patch from Ben Spencer:,2012-06-27T17:06:01,1
136,ba9ee5e,Patch from Ben Spencer:,2012-06-27T17:05:49,1
137,8875f57,Patch from Ben Spencer:,2012-06-27T17:05:40,1
138,8c88ff5,fixed broken LaspackVector assignment operator,2003-02-10T23:42:57,1
139,44ea143,MemorySolutionHistory bugfixes from Vikram Garg,2012-12-06T23:10:53,1
140,775f3cc,fixed for PETSc 2.1.x configuration,2004-04-20 11:22:29,1
141,0c66a9b,Fixes for compatibility with the Sun ONE Studio compiler,2004-03-08 02:10:05,1
142,99060cb,fixed broken d()/dzeta linear pyramid shape functions,2008-05-21 12:48:51,1
143,bc56be9,Fixes for our Epetra vector interface,2013-02-08T12:35:21,1
144,1c76411,Fixes and efficiency improvements for --disable-amr,2007-11-13T03:37:54,1
145,6a8edca,Fixes for code that might encounter remote_elem,2007-11-10T22:39:21,1
146,4cd36a8,Fixes (to commented out code...) for LIBMESH_DIM < 3,2011-06-15T17:48:42,1
147,330cf38,Derek's fixes for ParallelMesh stuff.,2011-04-14T16:17:37,1
148,df72c99,Fixes in ignore/restore_warnings.h,2016-06-29 09:40:44,1
149,316169b,64-bit fixes for key()  compute_key(),2013-02-01T16:01:37,1
150,7b07a8a,Some (incomplete) fixes for --enable-tripleprecision,2010-11-13T20:59:13,1
151,3e2103a,Fixes for du() API change,2008-02-05 23:15:13,1
152,fb3b2f1,misc_ex9 fixes for dof_id_type != unsigned int,2013-07-23T11:57:45,1
153,9885b5f,fixes for --disable-amr and compiling with DIM=2,2003-05-21T13:50:23,1
154,33adeaa,Fixed one of the more ridiculous uses of arrays of C-style strings.,2008-08-09 04:23:30,1
155,e90a18e,Fixed 6/7th degree triangle quadrature rule weights,2004-11-30 23:00:21,1
156,4e75563,Assorted bugfixes,2013-09-18T15:33:54,1
157,a7db13b,Fixes for disabling RTTI,2013-03-04T13:11:24,1
158,b59ec8a,Fixed compilation error with --enable-complex  due to DenseMatrix::_svd_solve_lapack,12/20/2015 19:07,1
159,b805544,Patch from Vijay for SLEPc 3.2 support,2011-10-29T23:48:13,1
160,1511eba,Fixed triangle support on OS X.,2005-05-09 12:35:23,1
161,5a7661c,fixes for new example targets,2012-12-10T21:17:09,1
162,6ed3f23,PGI compiler flag fixes,2004-04-20 11:57:55,1
163,1.059e+102,Fixes for --enable-complex,2007-10-15T07:37:23,1
164,a2ec9d7,Fixes to the triangle interface for better memory management.,2005-05-02 14:54:56,1
165,e81ba90,Fixes for --disable-ifem configuration,2016-11-02T14:52:22,1
166,e9678d9,Fixes for --disable-mpi builds.,5/9/16 8:26,1
167,50e77c4,Fixing an error in homemade remove_if algorithms.,2013-08-13T10:53:24,1
168,6b29e49,More fixes  refactoring for --enable-complex,2008-01-24 00:39:29,1
169,86ef9eb,Fixes for high p 3D monomial shape function calculations,2008-02-21 19:30:40,1
170,0309eac,is_adjoint() bugfixes,2013-01-31T17:49:11,1
171,9f92c8a,_next_free_*_id bugfixes,2007-11-07T23:05:55,1
172,7e5fd80,Reliability bugfixes,2007-09-19T19:47:37,1
173,1f8f0da,Derek's fixes for --disable-amr.,2011-04-15T15:28:29,1
174,c25a5ba,Fixes for --disable-periodic builds,2016-10-06 17:01:57,1
175,dc9053c,dof_id_type fixes for Elem::connectivity(),2013-01-29T15:15:35,1
176,095981f,"Fixes for the ""boundary id on internal sides"" case.",2011-06-25T06:52:27,1
177,7f6c3ac,"Fixes for the ""boundary id on internal sides"" case.",2011-07-13T19:28:56,1
178,bf41321,Patch from Manav Bhatia:,2013-09-21T22:06:54,1
179,bddd1de,Fixes for PetscInt!=int compatibility,2013-07-01T22:36:00,1
180,b5a2d88,Fixes for --disable-exceptions.,2016-07-20 15:09:16,1
181,ca48d5c,Fixes from Roman Vetter for data imprecision  bugs in VTK output,2011-02-21T17:11:25,1
182,8a557e2,Fixes for --disable-exodus,2011-12-06T21:37:06,1
183,514052e,UnsteadySolver fixes and optimization,2013-01-31T17:53:24,1
184,06f13bb,Fixes for --disable-fparser,2012-03-30T17:16:17,1
185,983d9e6,More PETSc 2.3.3 API change fixes,2007-07-02T17:04:57,1
186,402b556,Fixes for separate libMesh namespace,2011-04-23T19:46:18,1
187,fbeb140,Sun Studio fixes,2012-10-30T16:23:56,1
188,bc89796,Sun Studio fixes,2012-10-29T19:52:44,1
189,af3ca23,Fixes for ENABLE_PERIODIC && !ENABLE_AMR,2007-09-25T20:26:00,1
190,1f20452,Fixes for InfElemBuilder in the empty partition case,2012-06-20T17:58:44,1
191,dc987d8,Fixes for --enable-singleprecision,2012-11-12T08:11:22,1
192,c4a1fb4,More fixes for ParallelMesh refinement,2007-11-15T22:03:50,1
193,9cf8e4f,Fixes for std::complex<> use,2008-01-24 20:42:29,1
194,0dd21ff,"Revert ""fparser fixes""",2012-01-31T18:27:46,1
195,d7cdb65,Fixes for Xdr I/O with varying id sizes,2013-11-18T22:32:07,1
196,f59025b,minor SGI fixes,2003-02-20T05:13:42,1
197,e3b354c,fixes for IRIX 6.5/MIPSPro 7.4,2004-10-19 22:31:06,1
198,01f0069,Wconversion fixes for dof_map_constraints.C,2013-01-30T00:02:48,1
199,a398b0a,Fixes for style and performance issues found by cppcheck,2012-05-14T04:57:06,1
200,2.031e+64,fparser fixes,2012-01-30T20:09:43,1
201,9e15fc8,id_type fixes for unit tests,2013-01-26T18:02:23,1
202,66c7938,Fixes for hp projection cases,2006-04-16 03:41:07,1
203,7249a7a,Fixes for hp refinement,2006-04-14 22:31:50,1
204,aa03fab,fixes for allgather and vector_union,2007-10-24T18:28:19,1
205,19f7866,"Fixes for ""make test_headers""",2013-08-30T16:53:41,1
206,aeafb76,More odd-configuration-case fixes.,5/18/16 12:56,1
207,8591da0,Fixes for numeric_index_type != unsigned int,2013-05-29T13:48:35,1
208,998bafc,Fixes for find_neighbors() with remote_elem,2007-11-11T17:17:42,1
209,2c5649e,More fixes for dof_id_type != unsigned int,2013-05-30T10:08:07,1
210,9c03490,IRIX compatibility fixes,2003-02-11T00:08:48,1
211,ad2c257,compatibility fixes for IRIX,2003-09-02T19:49:07,1
212,5ff91e3,IRIX compatibility fixes,2003-02-11T00:58:24,1
213,6.651e+68,Fixes for *_id_type > int,2013-07-04T00:47:35,1
214,612d1ff,--enable-complex fixes,2012-08-15T07:49:09,1
215,3dc3d3e,Fixes for --enable-complex,2012-08-13T15:59:23,1
216,81b4f6c,Fixes for --enable-single,2016-05-19 14:58:32,1
217,142b1a2,compatibility fixes for gcc-3.0,2004-02-25 14:27:25,1
218,ddb0383,One more set of size type fixes,2013-08-19T16:32:39,1
219,90be9d7,Fixes for --disable-mpi,2012-07-04T17:24:46,1
220,3d9b111,Fixes for --disable-mpi,2011-06-01T23:22:47,1
221,b064cf8,Fixes for --disable-mpi,2011-05-21T03:51:30,1
222,5c8d182,Fixes for --disable-mpi,2008-02-04 16:46:11,1
223,74ab676,Communicator_World -> this->communicator() fixes,2013-04-04T15:17:09,1
224,de4a284,Patch from Benjamin Spencer:,2012-03-12T13:42:24,1
225,1fcb658,More BERNSTEIN+FIRST+QUAD4 fixes,2016-10-19 16:38:44,1
226,2ae1ae8,64-bit fixes,2007-03-19 16:58:19,1
227,f76b6b0,find_neighbors fixes for ParallelMesh,2008-05-12 12:58:52,1
228,bf2b335,Fixes for petsc-without-MPI,2013-04-16T15:04:33,1
229,32c1887,Fixes for VTK tests.,2007-09-20T00:09:30,1
230,c4a1258,Fixes for create_parent_error_vector in parallel,2008-01-16 21:06:00,1
231,e131332,Fixes for when HAVE_MPI is undefined,2007-06-17T19:24:53,1
232,4a8b487,Fixes for all_second_order() with ParallelMesh,2008-05-01 06:38:56,1
233,ca9a09a,compile fixes for Solaris,2004-09-30 20:10:31,1
234,a2e7eeb,portability fixes for HP,2003-03-11T23:36:46,1
235,10f5c1e,fixes for more config options,2013-01-05T21:04:32,1
236,b978e87,build fixes for xlC,2003-03-03T19:29:39,1
237,c907dc4,build fixes for xlC,2003-03-03T19:25:19,1
238,c8d6250,Fixes for when triangle is disabled.,2005-05-05 21:13:32,1
239,e7d1732,More fixes for --disable-gmv.,2007-06-05T16:09:30,1
240,f026594,packed_range output_type fixes,2016-01-21T17:02:24,1
241,1f1068e,incorporated m4 fixes,2012-12-19T09:36:48,1
242,6c33e3f,m4 fixes,2012-04-20T17:50:26,1
243,33390db,m4 fixes,2012-04-20T17:49:15,1
244,1e9ffbb,Fixes for Cygwin,2012-11-16T18:45:16,1
245,7b5c3c1,compatibility fixes,2003-02-11T14:20:25,1
246,7ef07af,SGI fixes,2003-03-17T01:27:08,1
247,6f8c950,fixes for SGI,2003-04-02 22:37:17,1
248,98fae2d,AdjointRefinement fixes,2013-11-13T17:18:37,1
249,2cbd66d,Fixes for FEXYZ,2011-05-03T17:12:14,1
250,8832cd5,Fixes for LaplaceMeshSmoother.,2011-06-16T18:54:35,1
251,9595015,Fixes to trishell3_edge_map and quadshell4_edge_map in ExodusII_IO_helper,2016-05-25 13:43:58,1
252,af1a50e,fixes for the systems,2004-01-17T22:56:54,1
253,37d4e34,misc other fixes,2013-04-04T12:53:03,1
254,901a9a4,More -Wconversion fixes,2013-01-30T11:18:57,1
255,c195d23,More -Wconversion fixes,2013-01-30T12:16:10,1
256,27ada9c,More -Wconversion fixes,2013-01-30T12:43:13,1
257,da06789,More -Wconversion fixes,2013-01-30T12:55:24,1
258,b4181d1,More -Wconversion fixes,2013-01-30T15:36:42,1
259,cd3e438,More -Wconversion fixes,2013-01-31T15:34:28,1
260,cf147db,More -Wconversion fixes,2013-01-30T18:02:38,1
261,9cea88d,More -Wconversion fixes,2013-01-30T00:51:46,1
262,2e7f44a,misc fixes,2013-04-05T08:45:40,1
263,bd6bf5a,misc fixes,2013-04-05T08:56:46,1
264,79d7675,more VPATH fixes,2013-10-18T13:22:06,1
265,38a75a5,Misc. fixes to mixed_dim_mesh_test.C,11/4/2015 14:07,1
266,b78b784,Fixed compilation errors for --disable-amr due to recent node and edge boundary condition patch.,2013-11-18T09:50:46,1
267,cc057b0,gcc 4.3.0 fixes,2008-03-10 21:33:45,1
268,5328e6d,more complex fixes,2013-01-06T22:05:18,1
269,70e63f7,more fixes for the iterators,2004-03-21 04:48:50,1
270,483a0fc,More ParallelMesh fixes:,2012-07-05T21:45:04,1
271,7d2915b,Fixes for ParallelMesh,2008-04-24 22:00:21,1
272,29bceb8,More dof_id_type fixes,2013-01-29T12:24:32,1
273,3fe13c0,More dof_id_type fixes,2013-01-31T10:32:53,1
274,5a99c41,More dof_id_type fixes,2013-01-26T13:48:00,1
275,2a50ca1,dof_id_type fixes,2013-01-31T16:29:43,1
276,48d90b2,Fixes for FrequencySystem.,2004-11-09 12:20:57,1
277,7a54f01,Patch from Jed Brown fixing PetscDMLibMesh on Petsc >= 3.5.,2013-11-13T10:51:48,1
278,6769426.0,Patch from @dknez to fixed reduced_basis_ex2 for FEMContext API updated.,2013-07-01T14:35:57,1
279,c2fc949,UniqueID fixes,2013-11-12T16:32:40,1
280,ec5d2b6,Fixes for LIBMESH_REQUIRE_SEPARATE_NAMESPACE,2012-09-14T17:37:00,1
281,abd9453,Fixes for --disable_amr,2012-06-22T20:40:08,1
282,9cd115b,debugging InfFE,2003-03-04T18:09:47,1
283,2d67ba9,Complete patch of correction of vtkSmartPointer usage,2013-09-27T14:04:15,1
284,4424e3d,patches from Bill for writing MGF-style xdr meshes,2004-09-30 17:18:38,1
285,32e9003,Patch from Vijay Mahadevan adding paths for SLEPc include files.,2011-08-31T21:31:37,1
286,4fc4a88,Add configure test for C++11 std::make_unique<T> workaround.,2016-05-31 14:02:30,1
287,89aa9e7,Patch from Jed Brown: * Update for the new XXDestroy() API coming in PETSc 3.2,2011-08-01T20:46:59,1
288,a1057a2,parallel solution projection on refined meshes now works,2003-05-29T00:03:06,1
289,d9980c3,fixed for Scali MPI compatibility.  Apparently MPI_SUM is not always valid for char data types,2003-12-24T00:30:43,1
290,2dbdca3,New assert_valid_neighbors() test  bugfixes in find_neighbors(),2007-11-11T07:48:18,1
291,2fb76e0,systems were not calling clear() in their destructors.  Solving transient problems in parallel with AMR now works  I think...  YEAH!,2003-05-29T21:31:36,1
292,1e567bd,properly handle the XCode (no Fortran anywhere) case,2013-04-18T21:11:55,1
293,9b85b6d,Return a custom error code when C++11 is required and the test fails.,2016-05-25 09:23:13,1
294,877da3f,"fixed funny bug: the PARMETIS_INCLUDE from PETSc's packages file could shadow the PARMETIS_INCLUDE from libMesh's Make.common... Perhaps the ""make"" I use is not the best  but at least this renamed variable does not hurt",2003-07-05T09:59:14,1
295,8904edf,fixes for the FrequencySystem to work with only _one_ frequency-dependent matrix  instead of multiple frequency-independent matrices,2003-08-07T08:55:30,1
296,867d856,Make sure parallel_only() failures occur at a libmesh_assert() which gives us a nice stack trace  not at a weird internal MPI buffer size mismatch error.,2011-04-20T22:02:59,1
297,b208114,Added more sophisticated error norm options,2007-02-27 00:03:19,1
298,07f643e,Patch from Vikram Garg: Create (and have ImplicitSystem use) LinearSolver::adjoint_solve Override PetscLinearSolver::adjoint_solve to use KSPSolveTranspose Add option to reuse preconditioners Test this option in ex26,2011-04-30T04:00:34,1
299,942e526,rbOOmit change: added rb_eim_theta.C to avoid linking error with METHOD=pro for reduced_basis_ex4,2012-03-27T20:46:32,1
300,617a27f,Bugfixes and additional options for _INF norms in System::calculate_norm,2012-03-26T22:16:28,1
301,8bed96f,Patch from Boyce Griffith for clean opt-mode compiles if the user has extra warnings enabled.,2011-08-11T18:03:36,1
302,83755bb,Patch from Roman Vetter (and comments from myself) allowing System::project_vector to handle new element creation,2011-03-04T03:58:10,1
303,0fe1181,Default template parameters to avoid API breakage,2013-03-27T15:36:13,1
304,2d4e3ae,Patch from Vikram Garg implementing global error estimation and an initial version of element-wise error indication based on refined adjoint solutions,2012-10-10T22:08:21,1
305,bcb2eb6,We need virtual destructors to avoid memory leaks here,2012-12-05T22:27:48,1
306,0cdc55e,Added T. Kroger oops patch for compilation in debug mode.,2006-08-28 15:52:15,1
307,f3d6ecd,"applied GMSH patch from Martin & added #include ""boundary_info.h""  Boundary information is now handled  and numNodes is now properly initialized.",2005-06-20 17:24:34,1
308,9396b93,More fine-grained profiling of patch-building functions,2007-01-22 23:36:07,1
309,e47886c,PETSc convergence reasons patch from Roman Vetter,2011-03-04T03:49:20,1
310,17b9985,Patch to add project_solution/project_vector methods using FEMFunctionBase objects. Still untested.,2012-12-17T17:40:44,1
311,978d9ee,Patch from Paul Bauman for 1D ExodusII output,2011-10-03T17:26:59,1
312,5d50ea9,Patch from Manav Bhatia: gmsh format 2.2 support,2013-03-27T14:14:31,1
313,4ca8a19,Make some PatchRecovery members protected:  this might be useful to anyone extending it  but specifically it'll be necessary to merge in Vikram's weighted patch recovery class once the bugs are worked out of that.,2012-04-20T19:56:47,1
314,a6f9dce,Patch from Jungho Lee for clang compiler detection,2012-03-25T06:36:31,1
